,5886,5251,5252,5122,5123
2022-04-16,3.50,2.25,2.00,4.00,2.00
2022-04-17,3.25,2.00,0,4.00,0
2022-04-18,3.50,2.00,0,5.00,2.50
2022-04-19,9.75,6.00,8.00,10.00,4.00
2022-04-20,3.25,2.00,4.00,5.50,0
2022-04-21,9.75,6.00,6.00,9.00,2.00
2022-04-22,13.50,8.00,10.00,30.00,8.50
2022-04-23,3.25,0,0,4.00,0
2022-04-24,13.00,2.00,6.00,10.50,3.75
2022-04-25,3.50,4.00,4.25,12.00,2.00
2022-04-26,3.25,2.00,2.00,4.00,0
2022-04-27,3.25,2.00,2.00,4.00,2.00
2022-04-28,6.50,2.00,2.00,10.50,2.00
2022-04-29,3.50,0,0,2.50,0
2022-04-30,0,0,0,0,0
2022-05-01,3.25,0,0,0,2.00
2022-05-02,13.25,8.00,6.00,17.00,6.00
2022-05-03,6.50,4.00,4.00,4.00,2.00
2022-05-04,2.25,0,2.00,6.50,2.00
2022-05-05,3.25,4.00,2.00,6.00,0
2022-05-06,3.25,2.00,2.00,13.50,4.00
2022-05-07,0,0,0,0,0
2022-05-08,9.75,8.00,8.00,13.50,9.00
2022-05-09,0,2.25,0,2.50,0
2022-05-10,6.50,4.00,2.00,8.00,4.00
2022-05-11,3.25,2.00,0,4.00,0
2022-05-12,6.75,6.50,6.50,10.00,10.50
2022-05-13,9.75,4.00,4.00,8.50,2.00
2022-05-14,0,6.00,6.00,6.00,2.50
2022-05-15,6.25,8.00,8.00,10.50,3.00
2022-05-16,3.25,2.00,4.00,4.00,4.00
2022-05-17,0,0,0,0,0
2022-05-18,6.75,6.00,4.00,8.00,4.00
2022-05-19,3.25,2.00,2.00,4.00,2.00
2022-05-20,9.75,10.00,8.00,25.50,17.50
2022-05-21,6.50,2.00,2.00,3.50,4.00
2022-05-22,19.50,12.00,8.00,15.50,9.50
2022-05-23,3.25,2.00,2.00,4.00,2.00
2022-05-24,3.50,4.25,2.25,4.00,6.50
2022-05-25,3.25,2.00,2.00,2.00,4.00
2022-05-26,6.50,8.00,4.00,13.00,9.00
2022-05-27,0,0,0,0,0
2022-05-28,0,0,0,0,0
2022-05-29,3.25,4.00,4.00,4.00,0
2022-05-30,6.50,4.00,2.00,6.00,6.25
2022-05-31,3.25,4.00,4.00,6.50,2.00
2022-06-01,3.25,4.00,4.00,4.00,2.00
2022-06-02,3.25,4.00,4.00,7.50,8.00
2022-06-03,0,0,0,0,0
2022-06-04,0,0,0,0,0
2022-06-05,11.00,9.00,4.50,12.25,10.00
2022-06-06,10.75,9.25,4.50,11.75,6.75
2022-06-07,0,4.50,6.75,6.75,5.00
2022-06-08,7.50,4.75,2.50,9.00,4.50
2022-06-09,7.00,2.25,2.25,6.75,0
2022-06-10,7.00,6.75,6.75,14.50,7.75
2022-06-11,7.00,6.75,3.50,6.19,2.25
2022-06-12,7.00,4.50,2.25,6.75,2.25
2022-06-13,7.00,4.50,4.50,10.50,2.75
2022-06-14,3.50,2.25,2.25,4.50,0
2022-06-15,0,0,0,0,0
2022-06-16,3.50,2.25,2.25,4.50,2.25
2022-06-17,3.50,4.50,2.25,6.75,2.25
2022-06-18,7.25,2.25,0,4.50,5.00
2022-06-19,3.50,4.50,0,4.50,0
2022-06-20,11.00,7.00,4.75,11.25,11.25
2022-06-21,3.50,2.25,0,2.25,2.25
2022-06-22,0,0,0,0,0
2022-06-23,7.00,2.25,2.25,11.50,10.00
2022-06-24,3.50,2.25,2.25,2.75,2.75
2022-06-25,7.00,4.50,0,5.00,4.50
2022-06-26,3.50,4.50,2.25,2.75,2.75
2022-06-27,3.50,2.25,0,2.25,0
2022-06-28,10.75,11.50,7.00,6.75,11.25
2022-06-29,7.00,4.50,2.25,9.00,2.25
2022-06-30,7.00,4.50,4.50,11.50,11.50
2022-07-01,3.50,4.50,4.50,7.25,2.25
2022-07-02,3.50,4.50,0,5.00,2.25
2022-07-03,7.00,4.50,4.75,6.50,6.50
2022-07-04,0,0,0,0,0
2022-07-05,0,2.25,0,2.25,0
2022-07-06,0,0,0,0,0
2022-07-07,14.00,10.25,9.00,22.50,10.50
2022-07-08,0,2.25,2.25,2.75,0
2022-07-09,0,4.50,2.25,6.75,0
2022-07-10,3.50,2.25,0,2.25,2.25
2022-07-11,3.50,2.25,4.50,2.25,0
2022-07-12,0,0,2.25,7.75,0
2022-07-13,3.50,2.25,4.50,4.50,2.75
2022-07-14,3.50,2.25,2.25,5.00,2.25
2022-07-15,0,0,0,0,0
2022-07-16,10.50,9.00,9.00,12.25,10.50
2022-07-17,0,0,0,0,0
2022-07-18,7.00,2.25,4.50,15.50,10.00
2022-07-19,3.50,0,6.75,6.75,2.25
2022-07-20,0,0,11.75,9.00,2.25
2022-07-21,3.50,0,0,0,2.75
2022-07-22,3.50,2.25,2.25,5.50,2.75
2022-07-23,0,0,0,0,0
2022-07-24,0,0,0,0,0
2022-07-25,0,0,0,0,0
2022-07-26,3.50,2.25,4.50,6.75,2.25
2022-07-27,3.50,0,4.50,4.50,2.25
2022-07-28,14.25,2.25,4.50,9.00,9.50
2022-07-29,0,0,0,0,0
2022-07-30,0,0,0,0,0
2022-07-31,7.00,5.25,6.75,5.50,5.00
2022-08-01,3.50,0,4.50,4.50,2.25
2022-08-02,0,0,0,0,0
2022-08-03,21.00,2.25,11.25,22.50,6.75
2022-08-04,10.50,6.75,2.25,9.00,5.00
2022-08-05,7.00,0,0,5.50,0
2022-08-06,0,2.25,0,2.25,0
2022-08-07,14.25,11.25,4.50,16.25,9.50
2022-08-08,0,2.25,0,2.25,0
2022-08-09,3.50,9.25,9.25,9.00,9.00
2022-08-10,0,0,0,0,0
2022-08-11,3.50,0,0,2.25,0
2022-08-12,3.50,0,0,2.25,0
2022-08-13,0,2.25,0,2.25,0
2022-08-14,3.50,2.25,2.25,6.75,2.25
2022-08-15,0,0,0,0,0
2022-08-16,3.50,2.25,2.25,5.00,0
2022-08-17,10.50,4.50,4.50,11.25,13.25
2022-08-18,3.50,0,0,0,2.75
2022-08-19,0,0,0,0,0
2022-08-20,7.00,6.75,4.50,11.25,6.75
2022-08-21,0,0,0,0,0
2022-08-22,0,0,0,0,0
2022-08-23,3.50,2.25,4.50,6.75,2.25
2022-08-24,7.25,4.50,4.50,6.75,9.50
2022-08-25,0,2.50,2.50,2.25,2.25
2022-08-26,3.50,6.75,9.00,14.00,4.50
2022-08-27,3.50,4.50,4.50,11.00,0
2022-08-28,3.50,4.50,2.25,4.50,5.00
2022-08-29,0,4.50,0,0,0
2022-08-30,0,6.75,4.50,6.75,0
2022-08-31,0,0,0,0,0
2022-09-01,0,0,0,0,0
2022-09-02,0,0,2.25,2.25,0
2022-09-03,3.50,4.50,4.50,4.50,4.50
2022-09-04,0,0,0,0,2.25
2022-09-05,0,4.50,4.50,7.25,0
2022-09-06,3.50,2.25,0,0,2.75
2022-09-07,7.00,4.50,4.50,4.50,4.50
2022-09-08,0,0,0,4.50,0
2022-09-09,3.50,0,0,4.50,0
2022-09-10,0,4.75,7.00,7.25,2.25
2022-09-11,3.50,0,0,0,2.25
2022-09-12,0,4.50,4.50,5.50,0
2022-09-13,0,2.25,2.25,2.25,0
2022-09-14,5.99,6.75,6.75,7.75,2.25
2022-09-15,0,5.00,4.75,4.50,4.50
2022-09-16,0,0,0,0,0
2022-09-17,7.00,11.25,6.75,20.50,4.50
2022-09-18,3.50,6.75,0,4.50,2.75
2022-09-19,0,0,0,0,0
2022-09-20,0,4.50,0,4.50,0
2022-09-21,0,0,0,0,0
2022-09-22,0,2.25,2.25,2.25,2.25
2022-09-23,0,5.00,4.75,7.75,2.75
2022-09-24,3.50,4.75,4.50,9.50,4.50
2022-09-25,3.50,2.25,2.50,2.75,5.00
2022-09-26,3.50,2.25,0,2.25,2.25
2022-09-27,0,0,0,0,0
2022-09-28,7.25,4.75,2.25,10.00,0
2022-09-29,7.00,18.00,18.00,20.75,16.00
2022-09-30,0,2.25,0,2.25,2.75
2022-10-01,0,2.25,2.25,2.25,0
2022-10-02,10.50,4.50,4.50,7.75,5.00
2022-10-03,0,5.00,5.00,11.00,0
2022-10-04,0,0,0,0,0
2022-10-05,3.50,4.50,4.50,2.75,5.00
2022-10-06,0,2.25,2.25,2.25,0
2022-10-07,0,0,2.25,2.25,0
2022-10-08,0,0,0,0,0
2022-10-09,7.00,9.75,7.50,10.50,12.25
2022-10-10,3.50,13.50,13.50,14.50,6.75
2022-10-11,0,0,0,0,0
2022-10-12,0,0,2.25,2.25,0
2022-10-13,3.50,5.00,5.00,13.25,0
2022-10-14,0,0,0,0,0
2022-10-15,7.25,4.50,2.25,7.25,7.25
2022-10-16,0,2.25,2.25,3.25,0
2022-10-17,3.75,4.75,4.75,4.50,2.75
2022-10-18,3.50,0,6.75,5.00,2.25
2022-10-19,0,2.50,0,2.25,0
2022-10-20,3.50,4.50,2.25,7.75,0
2022-10-21,0,0,0,0,0
2022-10-22,0,2.25,0,2.75,0
2022-10-23,0,11.50,11.50,9.00,14.00
2022-10-24,3.50,0,0,2.25,2.25
2022-10-25,0,0,0,0,0
2022-10-26,14.00,6.75,4.50,14.00,7.25
2022-10-27,7.00,4.50,4.50,8.75,7.75
2022-10-28,0,2.25,2.25,2.25,0
2022-10-29,0,0,0,0,0
2022-10-30,5.75,11.25,9.00,10.00,8.25
2022-10-31,0,0,0,0,0
